Gen_Num	rep	All_1	At_Least_1
1	1	20428	20428
1	2	20555	20555
1	3	20030	20030
1	4	20780	20780
1	5	20734	20734
1	6	20596	20596
1	7	20772	20772
1	8	20030	20030
1	9	20325	20325
1	10	20392	20392
2	1	19453	21537
2	2	20097	21486
2	3	19908	21103
2	4	20067	20964
2	5	19479	21573
2	6	20030	20995
2	7	19206	21558
2	8	19915	21413
2	9	19906	20948
2	10	19643	21607
3	1	19641	21757
3	2	19369	21232
3	3	19448	21809
3	4	19559	21867
3	5	19979	21140
3	6	19405	21876
3	7	19357	21276
3	8	19253	21253
3	9	19686	21701
3	10	19345	21884
4	1	19167	22275
4	2	19336	21463
4	3	19190	21977
4	4	19355	21947
4	5	18884	22106
4	6	19127	22248
4	7	19008	22400
4	8	19736	21298
4	9	19389	22244
4	10	19298	22212
5	1	19178	22033
5	2	19075	22294
5	3	18978	22172
5	4	18752	22038
5	5	18613	22031
5	6	18694	22435
5	7	18685	22555
5	8	19160	22416
5	9	19143	22417
5	10	19066	22078
6	1	18561	22606
6	2	18875	22690
6	3	18632	22396
6	4	18345	22514
6	5	18739	22676
6	6	19155	22170
6	7	18389	22472
6	8	18936	22441
6	9	18976	22453
6	10	18684	22385
7	1	18961	22226
7	2	17993	22842
7	3	18684	22441
7	4	17938	22330
7	5	18902	22480
7	6	18480	22736
7	7	18963	22256
7	8	18845	22304
7	9	18363	22798
7	10	18716	22728
8	1	18695	22776
8	2	18339	22797
8	3	18826	22576
8	4	18929	22642
8	5	17989	22605
8	6	18965	22492
8	7	18631	22588
8	8	18870	22703
8	9	18684	22603
8	10	18110	22763
9	1	18225	22739
9	2	18168	22590
9	3	18383	22589
9	4	19083	22280
9	5	18407	22802
9	6	18842	22567
9	7	18599	22844
9	8	18598	22608
9	9	17768	22834
9	10	18369	22938
10	1	18298	23045
10	2	18658	23002
10	3	18503	22874
10	4	17994	23127
10	5	17968	22832
10	6	18424	22807
10	7	18834	22382
10	8	18173	23071
10	9	18002	22431
10	10	18566	23033
11	1	18601	23065
11	2	18789	22812
11	3	18250	22738
11	4	18257	22793
11	5	17968	22995
11	6	18141	23119
11	7	18458	23200
11	8	18459	22986
11	9	18273	22831
11	10	18384	22935
12	1	18364	22572
12	2	18025	22799
12	3	18157	23219
12	4	18286	22757
12	5	17951	23107
12	6	17480	23200
12	7	18498	22886
12	8	18667	22694
12	9	18069	23015
