Gen_Num	rep	All_1	At_Least_1
1	1	20325	20325
1	2	20558	20558
1	3	20495	20495
1	4	20603	20603
1	5	20811	20811
1	6	20558	20558
1	7	20558	20558
1	8	20494	20494
1	9	20596	20596
1	10	20610	20610
2	1	20047	20937
2	2	20019	21494
2	3	19741	21596
2	4	19935	21016
2	5	19797	21530
2	6	19806	21097
2	7	20012	20998
2	8	19884	20927
2	9	19653	21559
2	10	20031	21037
3	1	18819	22017
3	2	19554	21982
3	3	19563	21213
3	4	19314	21804
3	5	19632	21781
3	6	19651	21260
3	7	19482	21825
3	8	19435	21991
3	9	19270	22007
3	10	19214	21956
4	1	19875	21235
4	2	19033	21424
4	3	19436	22014
4	4	19187	22247
4	5	19166	22279
4	6	18975	22240
4	7	19304	21373
4	8	18698	22038
4	9	19508	21298
4	10	19471	21865
5	1	18665	22409
5	2	19024	22367
5	3	19230	22254
5	4	19161	21461
5	5	19085	22436
5	6	19102	22390
5	7	18640	22343
5	8	19123	22070
5	9	19091	22445
5	10	18989	22478
6	1	18893	22397
6	2	18966	22143
6	3	19010	22550
6	4	18896	22214
6	5	18986	22166
6	6	18899	21709
6	7	19197	22528
6	8	18679	22110
6	9	18897	22647
6	10	18830	22172
7	1	18297	22463
7	2	18937	22602
7	3	18787	22705
7	4	18827	22272
7	5	18604	22646
7	6	18873	22312
7	7	18435	22180
7	8	18249	22436
7	9	18752	22550
7	10	18872	22642
8	1	18327	22399
8	2	18954	22741
8	3	18522	22654
8	4	18098	22704
8	5	18857	22412
8	6	17913	22591
8	7	18574	22392
8	8	18650	22604
8	9	18476	22493
8	10	18930	22549
9	1	18104	22831
9	2	18354	23033
9	3	18322	22791
9	4	18186	22883
9	5	18165	22768
9	6	18170	22921
9	7	18750	22685
9	8	18517	22315
9	9	18540	22809
9	10	18770	22985
10	1	17993	22750
10	2	18751	22587
10	3	18663	23004
10	4	18674	22692
10	5	18411	22942
10	6	18398	23002
10	7	18446	22990
10	8	18166	22700
10	9	18270	22708
10	10	18202	22931
11	1	18416	22901
11	2	18053	22606
11	3	17773	22909
11	4	17892	23176
11	5	17849	22932
11	6	18199	22721
11	7	17632	23082
11	8	17751	23021
11	9	17898	22809
11	10	17825	22724
12	1	18025	23082
12	2	17585	23014
12	3	18096	23210
12	4	18253	22783
12	5	17776	23054
12	6	18035	23046
12	7	17975	23083
12	8	17839	22287
12	9	18246	22988
12	10	17867	23070
13	1	18086	22982
13	2	17824	22951
13	3	18256	23133
13	4	17739	23010
13	5	17502	22882
13	6	17999	23204
13	7	17348	22879
13	8	17584	22740
13	9	18299	22985
13	10	17760	22803
14	1	17872	23237
14	2	17541	23160
14	3	17960	22976
14	4	17965	23220
14	5	17385	23084
14	6	18187	23172
14	7	17306	23165
14	8	18260	23217
14	9	17690	22955
14	10	17681	23082
15	1	17439	23411
15	2	17982	23187
15	3	18143	22708
15	4	17335	23371
15	5	17765	23223
15	6	18060	23262
15	7	17671	22985
15	8	17711	23249
15	9	17409	23120
15	10	18209	23211
16	1	17424	23196
16	2	17745	23002
16	3	17616	23158
16	4	17731	23050
16	5	17358	22893
16	6	17439	23294
16	7	17754	23327
16	8	17239	23083
16	9	18071	22940
16	10	17383	23261
17	1	17215	23454
17	2	17203	23254
17	3	17066	23472
17	4	18200	23365
17	5	17857	23433
17	6	17342	23200
17	7	17289	23165
17	8	17729	23476
17	9	17655	23049
17	10	17800	23396
18	1	17393	23278
18	2	17490	23305
18	3	17194	23434
18	4	17362	23418
18	5	17142	23321
18	6	17741	23470
18	7	17569	23333
18	8	17695	23278
18	9	17298	23308
18	10	16711	23466
19	1	17502	23520
19	2	16981	23220
19	3	17237	23270
19	4	16849	23345
19	5	16680	23471
19	6	17409	23436
19	7	16905	23488
19	8	17170	23404
19	9	17160	23455
19	10	18049	23190
20	1	17042	23349
20	2	17143	23435
20	3	17344	23496
20	4	17542	23283
20	5	17258	23428
20	6	17102	23306
20	7	17073	23452
20	8	17541	23452
20	9	17383	23387
20	10	17293	23352
21	1	16898	23520
21	2	17289	23621
21	3	17561	23539
21	4	17193	23485
21	5	17073	23507
21	6	17187	23632
21	7	16799	23579
21	8	17018	23423
21	9	16712	23519
21	10	17113	23357
22	1	16902	23447
22	2	16965	23490
22	3	16999	23447
22	4	17616	23560
