Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000000	39	1
OG0000001	27	0.692308
OG0000002	37	0.948718
OG0000003	39	1
OG0000004	36	0.923077
OG0000005	39	1
OG0000006	39	1
OG0000007	39	1
OG0000008	39	1
OG0000009	39	1
OG0000010	24	0.615385
OG0000011	39	1
OG0000012	39	1
OG0000013	39	1
OG0000014	39	1
OG0000015	38	0.974359
OG0000016	38	0.974359
OG0000017	14	0.358974
OG0000018	26	0.666667
OG0000019	25	0.641026
OG0000020	34	0.871795
OG0000021	33	0.846154
OG0000022	33	0.846154
OG0000023	31	0.794872
OG0000024	32	0.820513
OG0000025	32	0.820513
OG0000026	32	0.820513
OG0000027	32	0.820513
OG0000028	31	0.794872
OG0000029	32	0.820513
OG0000030	32	0.820513
OG0000031	32	0.820513
OG0000032	30	0.769231
OG0000033	32	0.820513
OG0000034	31	0.794872
OG0000035	30	0.769231
OG0000036	31	0.794872
OG0000037	31	0.794872
OG0000038	31	0.794872
OG0000039	31	0.794872
OG0000040	31	0.794872
OG0000041	31	0.794872
OG0000042	31	0.794872
OG0000043	31	0.794872
OG0000044	31	0.794872
OG0000045	31	0.794872
OG0000046	31	0.794872
OG0000047	30	0.769231
OG0000048	31	0.794872
OG0000049	31	0.794872
OG0000050	31	0.794872
OG0000051	1	0.025641
OG0000052	30	0.769231
OG0000053	30	0.769231
OG0000054	30	0.769231
OG0000055	30	0.769231
OG0000056	30	0.769231
OG0000057	30	0.769231
OG0000058	30	0.769231
OG0000059	29	0.74359
OG0000060	26	0.666667
OG0000061	30	0.769231
OG0000062	30	0.769231
OG0000063	30	0.769231
OG0000064	30	0.769231
OG0000065	30	0.769231
OG0000066	30	0.769231
OG0000067	30	0.769231
OG0000068	30	0.769231
OG0000069	30	0.769231
OG0000070	30	0.769231
OG0000071	29	0.74359
OG0000072	30	0.769231
OG0000073	30	0.769231
OG0000074	30	0.769231
OG0000075	30	0.769231
OG0000076	30	0.769231
OG0000077	30	0.769231
OG0000078	30	0.769231
OG0000079	30	0.769231
OG0000080	30	0.769231
OG0000081	30	0.769231
OG0000082	29	0.74359
OG0000083	30	0.769231
OG0000084	29	0.74359
OG0000085	29	0.74359
OG0000086	29	0.74359
OG0000087	27	0.692308
OG0000088	29	0.74359
OG0000089	29	0.74359
OG0000090	29	0.74359
OG0000091	29	0.74359
OG0000092	29	0.74359
OG0000093	29	0.74359
OG0000094	29	0.74359
OG0000095	29	0.74359
OG0000096	29	0.74359
OG0000097	29	0.74359
OG0000098	29	0.74359
OG0000099	29	0.74359
OG0000100	29	0.74359
OG0000101	29	0.74359
OG0000102	29	0.74359
OG0000103	29	0.74359
OG0000104	28	0.717949
OG0000105	29	0.74359
OG0000106	29	0.74359
OG0000107	29	0.74359
OG0000108	29	0.74359
OG0000109	29	0.74359
OG0000110	29	0.74359
OG0000111	29	0.74359
OG0000112	29	0.74359
OG0000113	29	0.74359
OG0000114	29	0.74359
OG0000115	29	0.74359
OG0000116	29	0.74359
OG0000117	20	0.512821
OG0000118	29	0.74359
OG0000119	29	0.74359
OG0000120	29	0.74359
OG0000121	27	0.692308
OG0000122	29	0.74359
OG0000123	29	0.74359
OG0000124	28	0.717949
OG0000125	29	0.74359
OG0000126	29	0.74359
OG0000127	29	0.74359
OG0000128	29	0.74359
OG0000129	29	0.74359
OG0000130	29	0.74359
OG0000131	28	0.717949
OG0000132	28	0.717949
OG0000133	28	0.717949
OG0000134	28	0.717949
OG0000135	27	0.692308
OG0000136	28	0.717949
OG0000137	28	0.717949
OG0000138	28	0.717949
OG0000139	27	0.692308
OG0000140	28	0.717949
OG0000141	28	0.717949
OG0000142	28	0.717949
OG0000143	28	0.717949
OG0000144	28	0.717949
OG0000145	28	0.717949
OG0000146	28	0.717949
OG0000147	28	0.717949
OG0000148	28	0.717949
OG0000149	28	0.717949
OG0000150	28	0.717949
OG0000151	28	0.717949
OG0000152	27	0.692308
OG0000153	28	0.717949
OG0000154	28	0.717949
OG0000155	28	0.717949
OG0000156	23	0.589744
OG0000157	28	0.717949
OG0000158	28	0.717949
OG0000159	28	0.717949
OG0000160	28	0.717949
OG0000161	28	0.717949
OG0000162	28	0.717949
OG0000163	28	0.717949
OG0000164	28	0.717949
OG0000165	28	0.717949
OG0000166	28	0.717949
OG0000167	28	0.717949
OG0000168	28	0.717949
OG0000169	28	0.717949
OG0000170	27	0.692308
OG0000171	28	0.717949
OG0000172	28	0.717949
OG0000173	28	0.717949
OG0000174	26	0.666667
OG0000175	28	0.717949
OG0000176	28	0.717949
OG0000177	28	0.717949
OG0000178	28	0.717949
OG0000179	28	0.717949
OG0000180	28	0.717949
OG0000181	28	0.717949
OG0000182	11	0.282051
OG0000183	27	0.692308
OG0000184	27	0.692308
OG0000185	27	0.692308
OG0000186	27	0.692308
OG0000187	27	0.692308
OG0000188	27	0.692308
OG0000189	27	0.692308
OG0000190	27	0.692308
OG0000191	27	0.692308
OG0000192	27	0.692308
OG0000193	27	0.692308
OG0000194	27	0.692308
OG0000195	27	0.692308
OG0000196	27	0.692308
OG0000197	27	0.692308
OG0000198	25	0.641026
OG0000199	27	0.692308
OG0000200	27	0.692308
OG0000201	27	0.692308
OG0000202	27	0.692308
OG0000203	27	0.692308
OG0000204	27	0.692308
OG0000205	27	0.692308
OG0000206	27	0.692308
OG0000207	27	0.692308
OG0000208	27	0.692308
OG0000209	27	0.692308
OG0000210	27	0.692308
OG0000211	27	0.692308
OG0000212	27	0.692308
OG0000213	27	0.692308
OG0000214	27	0.692308
OG0000215	27	0.692308
OG0000216	27	0.692308
OG0000217	27	0.692308
OG0000218	27	0.692308
OG0000219	27	0.692308
OG0000220	27	0.692308
OG0000221	27	0.692308
OG0000222	27	0.692308
OG0000223	25	0.641026
OG0000224	27	0.692308
OG0000225	27	0.692308
OG0000226	26	0.666667
OG0000227	27	0.692308
OG0000228	27	0.692308
OG0000229	27	0.692308
OG0000230	27	0.692308
OG0000231	27	0.692308
OG0000232	27	0.692308
OG0000233	27	0.692308
OG0000234	27	0.692308
OG0000235	27	0.692308
OG0000236	27	0.692308
OG0000237	27	0.692308
OG0000238	27	0.692308
OG0000239	27	0.692308
OG0000240	27	0.692308
OG0000241	27	0.692308
OG0000242	27	0.692308
OG0000243	27	0.692308
OG0000244	27	0.692308
OG0000245	27	0.692308
OG0000246	26	0.666667
OG0000247	27	0.692308
OG0000248	26	0.666667
OG0000249	15	0.384615
OG0000250	26	0.666667
OG0000251	26	0.666667
OG0000252	26	0.666667
OG0000253	26	0.666667
OG0000254	26	0.666667
OG0000255	26	0.666667
OG0000256	26	0.666667
OG0000257	26	0.666667
OG0000258	26	0.666667
OG0000259	26	0.666667
OG0000260	26	0.666667
OG0000261	26	0.666667
OG0000262	26	0.666667
OG0000263	26	0.666667
OG0000264	26	0.666667
OG0000265	26	0.666667
OG0000266	26	0.666667
OG0000267	26	0.666667
OG0000268	26	0.666667
OG0000269	26	0.666667
OG0000270	26	0.666667
OG0000271	26	0.666667
OG0000272	26	0.666667
OG0000273	26	0.666667
OG0000274	26	0.666667
OG0000275	26	0.666667
OG0000276	26	0.666667
OG0000277	26	0.666667
OG0000278	26	0.666667
OG0000279	26	0.666667
OG0000280	26	0.666667
OG0000281	26	0.666667
OG0000282	26	0.666667
OG0000283	26	0.666667
OG0000284	23	0.589744
OG0000285	26	0.666667
OG0000286	23	0.589744
OG0000287	26	0.666667
OG0000288	26	0.666667
OG0000289	26	0.666667
OG0000290	26	0.666667
OG0000291	26	0.666667
OG0000292	26	0.666667
OG0000293	25	0.641026
OG0000294	26	0.666667
OG0000295	13	0.333333
OG0000296	26	0.666667
OG0000297	26	0.666667
OG0000298	26	0.666667
OG0000299	26	0.666667
OG0000300	23	0.589744
OG0000301	26	0.666667
OG0000302	26	0.666667
OG0000303	26	0.666667
OG0000304	11	0.282051
OG0000305	25	0.641026
OG0000306	25	0.641026
OG0000307	25	0.641026
OG0000308	25	0.641026
OG0000309	25	0.641026
OG0000310	25	0.641026
OG0000311	25	0.641026
OG0000312	24	0.615385
OG0000313	25	0.641026
OG0000314	25	0.641026
OG0000315	25	0.641026
OG0000316	25	0.641026
OG0000317	25	0.641026
OG0000318	25	0.641026
OG0000319	25	0.641026
OG0000320	25	0.641026
OG0000321	25	0.641026
OG0000322	25	0.641026
OG0000323	25	0.641026
OG0000324	25	0.641026
OG0000325	25	0.641026
OG0000326	25	0.641026
OG0000327	25	0.641026
OG0000328	25	0.641026
OG0000329	25	0.641026
OG0000330	25	0.641026
OG0000331	25	0.641026
OG0000332	21	0.538462
OG0000333	25	0.641026
OG0000334	25	0.641026
OG0000335	24	0.615385
OG0000336	25	0.641026
OG0000337	25	0.641026
OG0000338	25	0.641026
OG0000339	25	0.641026
OG0000340	25	0.641026
OG0000341	25	0.641026
OG0000342	25	0.641026
OG0000343	25	0.641026
OG0000344	25	0.641026
OG0000345	25	0.641026
OG0000346	25	0.641026
OG0000347	25	0.641026
OG0000348	24	0.615385
OG0000349	25	0.641026
OG0000350	25	0.641026
OG0000351	25	0.641026
OG0000352	25	0.641026
OG0000353	25	0.641026
OG0000354	25	0.641026
OG0000355	15	0.384615
OG0000356	25	0.641026
OG0000357	25	0.641026
OG0000358	24	0.615385
OG0000359	24	0.615385
OG0000360	24	0.615385
OG0000361	22	0.564103
OG0000362	24	0.615385
OG0000363	24	0.615385
OG0000364	24	0.615385
OG0000365	24	0.615385
OG0000366	24	0.615385
OG0000367	24	0.615385
OG0000368	23	0.589744
OG0000369	24	0.615385
