Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000000	10	0.909091
OG0000001	10	0.909091
OG0000002	10	0.909091
OG0000003	10	0.909091
OG0000004	8	0.727273
OG0000005	9	0.818182
OG0000006	10	0.909091
OG0000007	9	0.818182
OG0000008	10	0.909091
OG0000009	10	0.909091
OG0000010	10	0.909091
OG0000011	10	0.909091
OG0000012	10	0.909091
OG0000013	10	0.909091
OG0000014	9	0.818182
OG0000015	9	0.818182
OG0000016	10	0.909091
OG0000017	10	0.909091
OG0000018	10	0.909091
OG0000019	8	0.727273
OG0000020	7	0.636364
OG0000021	9	0.818182
OG0000022	10	0.909091
OG0000023	7	0.636364
OG0000024	9	0.818182
OG0000025	8	0.727273
OG0000026	10	0.909091
OG0000027	7	0.636364
OG0000028	10	0.909091
OG0000029	5	0.454545
OG0000030	10	0.909091
OG0000031	8	0.727273
OG0000032	7	0.636364
OG0000033	9	0.818182
OG0000034	9	0.818182
OG0000035	7	0.636364
OG0000036	9	0.818182
OG0000037	10	0.909091
OG0000038	10	0.909091
OG0000039	7	0.636364
OG0000040	10	0.909091
OG0000041	9	0.818182
OG0000042	10	0.909091
OG0000043	10	0.909091
OG0000044	7	0.636364
OG0000045	10	0.909091
OG0000046	8	0.727273
OG0000047	10	0.909091
OG0000048	10	0.909091
OG0000049	10	0.909091
OG0000050	8	0.727273
OG0000051	9	0.818182
OG0000052	10	0.909091
OG0000053	9	0.818182
OG0000054	10	0.909091
OG0000055	9	0.818182
OG0000056	10	0.909091
OG0000057	10	0.909091
OG0000058	10	0.909091
OG0000059	7	0.636364
OG0000060	9	0.818182
OG0000061	10	0.909091
OG0000062	10	0.909091
OG0000063	10	0.909091
OG0000064	8	0.727273
OG0000065	8	0.727273
OG0000066	10	0.909091
OG0000067	9	0.818182
OG0000068	8	0.727273
OG0000069	2	0.181818
OG0000070	5	0.454545
OG0000071	6	0.545455
OG0000072	10	0.909091
OG0000073	9	0.818182
OG0000074	9	0.818182
OG0000075	9	0.818182
OG0000076	10	0.909091
OG0000077	9	0.818182
OG0000078	10	0.909091
OG0000079	10	0.909091
OG0000080	10	0.909091
OG0000081	3	0.272727
OG0000082	8	0.727273
OG0000083	7	0.636364
OG0000084	10	0.909091
OG0000085	10	0.909091
OG0000086	6	0.545455
OG0000087	10	0.909091
OG0000088	10	0.909091
OG0000089	9	0.818182
OG0000090	10	0.909091
OG0000091	5	0.454545
OG0000092	10	0.909091
OG0000093	10	0.909091
OG0000094	8	0.727273
OG0000095	10	0.909091
OG0000096	10	0.909091
OG0000097	9	0.818182
OG0000098	1	0.0909091
OG0000099	10	0.909091
OG0000100	10	0.909091
OG0000101	10	0.909091
OG0000102	10	0.909091
OG0000103	10	0.909091
OG0000104	10	0.909091
OG0000105	9	0.818182
OG0000106	10	0.909091
OG0000107	9	0.818182
OG0000108	10	0.909091
OG0000109	10	0.909091
OG0000110	10	0.909091
OG0000111	10	0.909091
OG0000112	9	0.818182
OG0000113	10	0.909091
OG0000114	8	0.727273
OG0000115	9	0.818182
OG0000116	9	0.818182
OG0000117	3	0.272727
OG0000118	9	0.818182
OG0000119	10	0.909091
OG0000120	10	0.909091
OG0000121	10	0.909091
OG0000122	10	0.909091
OG0000123	9	0.818182
OG0000124	10	0.909091
OG0000125	10	0.909091
OG0000126	10	0.909091
OG0000127	8	0.727273
OG0000128	10	0.909091
OG0000129	7	0.636364
OG0000130	10	0.909091
OG0000131	10	0.909091
OG0000132	10	0.909091
OG0000133	9	0.818182
OG0000134	9	0.818182
OG0000135	10	0.909091
OG0000136	10	0.909091
OG0000137	10	0.909091
OG0000138	7	0.636364
OG0000139	9	0.818182
OG0000140	2	0.181818
OG0000141	10	0.909091
OG0000142	9	0.818182
OG0000143	10	0.909091
OG0000144	9	0.818182
OG0000145	5	0.454545
OG0000146	9	0.818182
OG0000147	9	0.818182
OG0000148	8	0.727273
OG0000149	1	0.0909091
OG0000150	8	0.727273
OG0000151	6	0.545455
OG0000152	9	0.818182
