Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000000	6	1
OG0000001	6	1
OG0000002	6	1
OG0000003	6	1
OG0000004	5	0.833333
OG0000005	6	1
OG0000006	6	1
OG0000007	6	1
OG0000008	6	1
OG0000009	6	1
OG0000010	6	1
OG0000011	6	1
OG0000012	6	1
OG0000013	6	1
OG0000014	6	1
OG0000015	6	1
OG0000016	6	1
OG0000017	6	1
OG0000018	6	1
OG0000019	4	0.666667
OG0000020	6	1
OG0000021	6	1
OG0000022	6	1
OG0000023	6	1
OG0000024	6	1
OG0000025	6	1
OG0000026	6	1
OG0000027	6	1
OG0000028	6	1
OG0000029	6	1
OG0000030	4	0.666667
OG0000031	2	0.333333
OG0000032	5	0.833333
OG0000033	5	0.833333
OG0000034	6	1
OG0000035	6	1
OG0000036	6	1
OG0000037	6	1
OG0000038	6	1
OG0000039	6	1
OG0000040	6	1
OG0000041	6	1
OG0000042	6	1
OG0000043	6	1
OG0000044	6	1
OG0000045	6	1
OG0000046	6	1
OG0000047	6	1
OG0000048	6	1
OG0000049	6	1
OG0000050	6	1
OG0000051	6	1
OG0000052	6	1
OG0000053	4	0.666667
OG0000054	5	0.833333
OG0000055	6	1
OG0000056	5	0.833333
OG0000057	6	1
OG0000058	6	1
OG0000059	5	0.833333
OG0000060	6	1
OG0000061	6	1
OG0000062	6	1
OG0000063	5	0.833333
OG0000064	6	1
OG0000065	6	1
OG0000066	6	1
OG0000067	6	1
OG0000068	6	1
OG0000069	1	0.166667
OG0000070	6	1
OG0000071	6	1
OG0000072	1	0.166667
OG0000073	6	1
OG0000074	5	0.833333
OG0000075	6	1
OG0000076	6	1
OG0000077	6	1
OG0000078	6	1
OG0000079	6	1
OG0000080	6	1
OG0000081	5	0.833333
OG0000082	5	0.833333
OG0000083	5	0.833333
OG0000084	6	1
OG0000085	6	1
OG0000086	0	0
OG0000087	5	0.833333
OG0000088	6	1
OG0000089	6	1
OG0000090	6	1
OG0000091	6	1
OG0000092	6	1
OG0000093	6	1
OG0000094	4	0.666667
OG0000095	6	1
OG0000096	6	1
OG0000097	6	1
OG0000098	1	0.166667
OG0000099	6	1
OG0000100	6	1
OG0000101	6	1
OG0000102	6	1
OG0000103	6	1
OG0000104	6	1
OG0000105	5	0.833333
OG0000106	6	1
OG0000107	6	1
OG0000108	6	1
OG0000109	6	1
OG0000110	6	1
OG0000111	6	1
OG0000112	6	1
OG0000113	6	1
OG0000114	6	1
OG0000115	6	1
OG0000116	6	1
OG0000117	6	1
OG0000118	6	1
OG0000119	6	1
OG0000120	6	1
OG0000121	6	1
OG0000122	6	1
OG0000123	4	0.666667
OG0000124	6	1
OG0000125	6	1
OG0000126	6	1
OG0000127	4	0.666667
OG0000128	5	0.833333
OG0000129	6	1
OG0000130	6	1
OG0000131	6	1
OG0000132	6	1
OG0000133	6	1
OG0000134	5	0.833333
OG0000135	6	1
OG0000136	6	1
OG0000137	6	1
OG0000138	4	0.666667
OG0000139	6	1
OG0000140	3	0.5
OG0000141	6	1
OG0000142	6	1
OG0000143	6	1
OG0000144	6	1
OG0000145	3	0.5
OG0000146	6	1
OG0000147	3	0.5
OG0000148	6	1
OG0000149	3	0.5
OG0000150	6	1
OG0000151	6	1
OG0000152	6	1
OG0000153	6	1
OG0000154	6	1
OG0000155	6	1
OG0000156	5	0.833333
OG0000157	6	1
OG0000158	2	0.333333
OG0000159	6	1
OG0000160	6	1
OG0000161	6	1
OG0000162	5	0.833333
OG0000163	6	1
OG0000164	6	1
OG0000165	5	0.833333
OG0000166	6	1
OG0000167	6	1
OG0000168	6	1
OG0000169	6	1
OG0000170	5	0.833333
OG0000171	6	1
OG0000172	6	1
OG0000173	6	1
OG0000174	5	0.833333
OG0000175	6	1
OG0000176	5	0.833333
OG0000177	6	1
OG0000178	6	1
OG0000179	6	1
OG0000180	5	0.833333
OG0000181	6	1
OG0000182	6	1
OG0000183	5	0.833333
OG0000184	6	1
OG0000185	6	1
OG0000186	5	0.833333
OG0000187	5	0.833333
OG0000188	6	1
OG0000189	3	0.5
OG0000190	6	1
OG0000191	6	1
OG0000192	4	0.666667
OG0000193	6	1
OG0000194	6	1
OG0000195	6	1
OG0000196	3	0.5
OG0000197	5	0.833333
OG0000198	0	0
OG0000199	6	1
OG0000200	6	1
OG0000201	5	0.833333
OG0000202	6	1
OG0000203	6	1
OG0000204	6	1
OG0000205	6	1
OG0000206	6	1
OG0000207	6	1
OG0000208	6	1
OG0000209	6	1
OG0000210	6	1
OG0000211	6	1
OG0000212	6	1
OG0000213	6	1
OG0000214	6	1
OG0000215	6	1
