OG0022116,CsaV3_UNG160230.1,Protein kinase domain-containing protein
-- OG0022119,CsaV3_4G006800.1,Cellulose synthase
OG0022120,CsaV3_3G004200.1,HECT-type E3 ubiquitin transferase
OG0022454,CsaV3_6G020210.1,HECT-type E3 ubiquitin transferase
OG0022527,CsaV3_3G020500.1,DUF4216 domain-containing protein
OG0022684,CsaV3_5G015670.1,C2 domain-containing protein
OG0022712,CsaV3_7G021690.1,1-phosphatidylinositol-3-phosphate 5-kinase
OG0022713,CsaV3_7G002780.1,Exopolygalacturonase-like
