OG0000000	GO:0005576	S-protein homolog OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold299G002420 PE=3 SV=1
OG0000000	GO:0060320
OG0000001	GO:0005689	U11/U12 small nuclear ribonucleoprotein 31 kDa protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold360G00210 PE=4 SV=1
OG0000001	GO:0003723
OG0000001	GO:0008270
OG0000001	GO:0000398
OG0000002	GO:0008234	Ulp1-like peptidase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold190G00350 PE=3 SV=1
OG0000002	GO:0006508
OG0000002	EC:3.4
OG0000003	GO:0005739	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_6G006770 PE=4 SV=1
OG0000003	GO:0016020
OG0000003	GO:0004143
OG0000003	GO:0005524
OG0000003	GO:0017050
OG0000003	GO:0006671
OG0000003	GO:0008654
OG0000003	GO:0009409
OG0000003	EC:2.7.1.91
OG0000003	EC:2.7.1.107
OG0000005	GO:0004471	Malic enzyme OS=Cucumis melo OX=3656 GN=LOC103499065 PE=3 SV=1
OG0000005	GO:0036094
OG0000005	GO:0006090
OG0000005	GO:0006108
OG0000005	EC:1.1.1.38
OG0000005	EC:1.1.1.39
OG0000006	GO:0016985	Mannan endo-1,4-beta-mannosidase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold44G002090 PE=3 SV=1
OG0000006	EC:3.2.1.25
OG0000006	EC:3.2.1.78
OG0000007	GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
OG0000007	GO:0016853
OG0000007	GO:0006270
OG0000007	GO:0007095
OG0000007	GO:0033314
OG0000007	EC:5
OG0000008	GO:0046910	Pectinesterase inhibitor-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold571G00850 PE=4 SV=1
OG0000009	GO:0005634	LOW QUALITY PROTEIN: protein ENHANCED DOWNY MILDEW 2 OS=Cucumis melo OX=3656 GN=LOC103490112 PE=4 SV=1
OG0000009	GO:0008168
OG0000009	GO:0046872
OG0000009	GO:0032259
