OG0000008,CsaV3_UNG225750.1,pectinesterase inhibitor-like
OG0000009,CsaV3_7G018830.1,Protein ENHANCED DOWNY MILDEW 2
OG0000010,CsaV3_UNG001020.1,Protein ENHANCED DOWNY MILDEW 2
OG0000011,CsaV3_1G015090.1,rotein phosphatase 1 regulatory subunit 7
OG0000016,CsaV3_3G021270.1,Carboxypeptidase Y-like
OG0000028,CsaV3_4G009540.1,wall-associated receptor kinase-like 20
OG0000037,CsaV3_4G028020.1,DNA topoisomerase 2-binding protein 1
OG0000061,CsaV3_UNG039210.1,calmodulin-binding protein 60 G-like
OG0000062,CsaV3_UNG088690.1,condensin-2 complex subunit D3
