OG0000000	GO:0005576	S-protein homolog
OG0000001	GO:0005689	U11/U12 small nuclear ribonucleoprotein 31 kDa protein
OG0000002	GO:0008234	Ulp1-like peptidase
OG0000003	GO:0005739	Uncharacterized protein
OG0000005	GO:0004471	Malic enzyme
OG0000006	GO:0016985	Mannan endo-1,4-beta-mannosidase
OG0000007	GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3
OG0000008	GO:0046910	Pectinesterase inhibitor-like
OG0000009	GO:0005634	LOW QUALITY PROTEIN: protein ENHANCED DOWNY MILDEW 2
OG0000010	GO:0005634	Protein ENHANCED DOWNY MILDEW 2
OG0000013	GO:0005634	Proline-, glutamic acid-and leucine-rich protein 1
OG0000014	GO:0005737	Uncharacterized protein
OG0000015	GO:0004471	Malic enzyme
OG0000016	GO:0004180	Carboxypeptidase Y-like
OG0000019	GO:0016020	Periaxin-like
OG0000020	GO:0008234	Ulp1-like peptidase
OG0000022	GO:0005737	serine/threonine-protein kinase SRK2B-like isoform X1
OG0000023	GO:0046910	PMEI domain-containing protein
OG0000025	GO:0005777	3-hydroxyacyl-CoA dehydrogenase
OG0000026	GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3
OG0000028	GO:0005886	Uncharacterized protein
OG0000030	GO:0005737	Uncharacterized protein
OG0000031	GO:0016874	HECT-type E3 ubiquitin transferase
OG0000032	GO:0005739	Peptide chain release factor 1
OG0000033	GO:0004470	Malic enzyme
OG0000034	GO:0005615	SCP domain-containing protein
OG0000036	GO:0032580	UDP-glucuronate decarboxylase
OG0000037	GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X2
OG0000038	GO:0000228	meiotic recombination protein SPO11-1 isoform X1
OG0000039	GO:0005739	Complex1_49kDa domain-containing protein
OG0000040	GO:0003676	R3H domain-containing protein 2-like
OG0000041	GO:0000779	3-hydroxyacyl-CoA dehydrogenase
OG0000042	GO:0000779	condensin-2 complex subunit D3
OG0000043	GO:0005794	Small GTPase superfamily, Rab type
OG0000044	GO:0005739	Maturase (Fragment)
OG0000045	GO:0010227	Proline-rich protein HaeIII subfamily 1-like
OG0000046	GO:0000427	uncharacterized protein LOC103487613
OG0000047	GO:0046910	PMEI domain-containing protein
OG0000048	GO:0004650	Exopolygalacturonase-like
OG0000049	GO:0005743	Cytochrome c oxidase subunit 2
OG0000053	GO:0005634	Uncharacterized protein
OG0000054	GO:0004650	Exopolygalacturonase-like
OG0000055	GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X2
OG0000056	GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X2
OG0000057	GO:0016020	phylloplanin-like
OG0000059	GO:0005634	Uncharacterized protein
OG0000060	GO:0008234	ULP_PROTEASE domain-containing protein
OG0000061	GO:0005634	Calmodulin-binding protein 60 G-like isoform X2
OG0000062	GO:0000779	condensin-2 complex subunit D3
OG0000063	GO:0004650	Exopolygalacturonase-like
OG0000064	GO:0005737	tRNA (Guanine(10)-N2)-methyltransferase-like protein
OG0000065	GO:0005739	Cytochrome c oxidase subunit 3
OG0000066	GO:0004869	Cystatin domain-containing protein
OG0000070	GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3
OG0000071	GO:0008483	Aminotran_1_2 domain-containing protein
OG0000072	GO:0005730	Uncharacterized protein
OG0000073	GO:0005689	U11/U12 small nuclear ribonucleoprotein 31 kDa protein
OG0000074	GO:0005783	chaperone protein dnaJ 49
OG0000076	GO:0005634	Protein ENHANCED DOWNY MILDEW 2
OG0000077	GO:0004535	DNA topoisomerase 2-binding protein 1 isoform X3
