Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000000	39	1
OG0000001	39	1
OG0000002	38	0.974359
OG0000003	39	1
OG0000004	36	0.923077
OG0000005	38	0.974359
OG0000006	39	1
OG0000007	38	0.974359
OG0000008	39	1
OG0000009	39	1
OG0000010	39	1
OG0000011	39	1
OG0000012	39	1
OG0000013	39	1
OG0000014	38	0.974359
OG0000015	38	0.974359
OG0000016	39	1
OG0000017	39	1
OG0000018	39	1
OG0000019	24	0.615385
OG0000020	32	0.820513
OG0000021	35	0.897436
OG0000022	39	1
OG0000023	31	0.794872
OG0000024	37	0.948718
OG0000025	34	0.871795
OG0000026	39	1
OG0000027	36	0.923077
OG0000028	39	1
OG0000029	27	0.692308
OG0000030	29	0.74359
OG0000031	29	0.74359
OG0000032	33	0.846154
OG0000033	35	0.897436
OG0000034	34	0.871795
OG0000035	34	0.871795
OG0000036	38	0.974359
OG0000037	39	1
OG0000038	39	1
OG0000039	34	0.871795
OG0000040	39	1
OG0000041	38	0.974359
OG0000042	39	1
OG0000043	39	1
OG0000044	33	0.846154
OG0000045	38	0.974359
OG0000046	37	0.948718
OG0000047	39	1
OG0000048	39	1
OG0000049	39	1
OG0000050	35	0.897436
OG0000051	33	0.846154
OG0000052	39	1
OG0000053	36	0.923077
OG0000054	38	0.974359
OG0000055	34	0.871795
OG0000056	36	0.923077
OG0000057	39	1
OG0000058	37	0.948718
OG0000059	33	0.846154
OG0000060	37	0.948718
OG0000061	39	1
OG0000062	39	1
OG0000063	38	0.974359
OG0000064	37	0.948718
OG0000065	35	0.897436
OG0000066	39	1
OG0000067	36	0.923077
OG0000068	33	0.846154
OG0000069	7	0.179487
OG0000070	28	0.717949
OG0000071	34	0.871795
OG0000072	28	0.717949
OG0000073	38	0.974359
OG0000074	37	0.948718
OG0000075	38	0.974359
OG0000076	39	1
OG0000077	35	0.897436
OG0000078	39	1
OG0000079	39	1
OG0000080	39	1
OG0000081	24	0.615385
OG0000082	27	0.692308
OG0000083	35	0.897436
OG0000084	39	1
OG0000085	37	0.948718
OG0000086	15	0.384615
OG0000087	38	0.974359
OG0000088	39	1
OG0000089	36	0.923077
OG0000090	36	0.923077
OG0000091	28	0.717949
OG0000092	39	1
OG0000093	39	1
OG0000094	31	0.794872
OG0000095	39	1
OG0000096	39	1
OG0000097	38	0.974359
OG0000098	6	0.153846
OG0000099	39	1
OG0000100	38	0.974359
OG0000101	39	1
OG0000102	39	1
OG0000103	39	1
OG0000104	39	1
OG0000105	36	0.923077
OG0000106	39	1
OG0000107	37	0.948718
OG0000108	39	1
OG0000109	39	1
OG0000110	38	0.974359
OG0000111	39	1
OG0000112	35	0.897436
OG0000113	39	1
OG0000114	36	0.923077
OG0000115	38	0.974359
OG0000116	36	0.923077
OG0000117	22	0.564103
OG0000118	38	0.974359
OG0000119	39	1
OG0000120	39	1
OG0000121	39	1
OG0000122	39	1
OG0000123	36	0.923077
OG0000124	39	1
OG0000125	39	1
OG0000126	39	1
OG0000127	33	0.846154
OG0000128	36	0.923077
OG0000129	35	0.897436
OG0000130	39	1
OG0000131	39	1
OG0000132	39	1
OG0000133	35	0.897436
OG0000134	30	0.769231
OG0000135	39	1
