# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
OG0003518	tr|A0A6J1DPY5|A0A6J1DPY5_MOMCH	***	ras-related protein Rab7		
OG0003517	tr|A0A0A0K755|A0A0A0K755_CUCSA	***	1-phosphatidylinositol-3-phosphate 5-kinase		
OG0003519	tr|A0A5D3DHR7|A0A5D3DHR7_CUCME	***	4-hydroxy-tetrahydrodipicolinate reductase 2		
OG0015500	tr|A0A2P5DEW7|A0A2P5DEW7_PARAD	***	GATA transcription factor		
OG0015501	tr|A0A5D3C6Y2|A0A5D3C6Y2_CUCME	***	KH domain-containing protein		
OG0015502	tr|A0A1S3BZU6|A0A1S3BZU6_CUCME	***	SWI/SNF complex component SNF12 homolog		
OG0015503	tr|A0A0A0K7F7|A0A0A0K7F7_CUCSA	***	D-fructose-1,6-bisphosphate 1-phosphohydrolase		
OG0015504	tr|A0A1S3C0Z7|A0A1S3C0Z7_CUCME	***	nicotinamidase 1-like		
OG0015505	tr|A0A1S4E0H0|A0A1S4E0H0_CUCME	***	protein EXECUTER 1, chloroplastic		
OG0015506	tr|A0A0A0K439|A0A0A0K439_CUCSA	***	CN hydrolase domain-containing protein		
OG0003521	tr|A0A1S3BIP3|A0A1S3BIP3_CUCME	***	1,4-alpha-glucan branching enzyme		
OG0003520	tr|A0A1S3BIX8|A0A1S3BIX8_CUCME	***	mitogen-activated protein kinase kinase kinase 2		
OG0003523	tr|A0A1S3BIX5|A0A1S3BIX5_CUCME	***	TOM1-like protein 2		
OG0003522	tr|A0A5D3D7D3|A0A5D3D7D3_CUCME	***	Ribosomal RNA small subunit methyltransferase NEP1-like		
OG0003525	tr|A0A5D3D2L2|A0A5D3D2L2_CUCME	***	DNA-directed RNA polymerase III subunit RPC1-like		
OG0003524	tr|A0A4U5PU02|A0A4U5PU02_POPAL	***	BTB/POZ domain-containing protein		
OG0003527	tr|A0A6J1DZ46|A0A6J1DZ46_MOMCH	***	protein TPX2-like isoform X4		
OG0003526	tr|A0A0A0K5H7|A0A0A0K5H7_CUCSA	***	LEA_2 domain-containing protein		
OG0003507	tr|A0A1S3BJI1|A0A1S3BJI1_CUCME	***	polygalacturonase-like		
OG0003506			Unknown protein		
OG0003509	tr|A0A2R6PRC5|A0A2R6PRC5_ACTCC	***	Rho GTPase-activating protein like		
OG0003508	AT5G55340.1	***	MBOAT (membrane bound O-acyl transferase) family protein		
OG0003510	tr|A0A1S3BHP1|A0A1S3BHP1_CUCME	***	F-box protein At-B		
OG0003512	tr|A0A6J1CC72|A0A6J1CC72_MOMCH	***	GPI-anchored protein LLG1-like		
OG0003511			Unknown protein		
OG0003514	tr|A0A5D3DHW0|A0A5D3DHW0_CUCME	***	BTB/POZ domain-containing protein		
OG0003513	tr|A0A1S3BIW0|A0A1S3BIW0_CUCME	***	GPI-anchored protein LORELEI-like		
OG0003516	tr|A0A0A0K734|A0A0A0K734_CUCSA	***	DUF2431 domain-containing protein		
OG0003515	tr|A0A0A0K8J5|A0A0A0K8J5_CUCSA	***	DUF2431 domain-containing protein		
OG0003501	tr|A0A2R6PRA3|A0A2R6PRA3_ACTCC	***	Two-pore potassium channel like		
OG0003500	tr|A0A0A0K304|A0A0A0K304_CUCSA	***	Cysteine synthase		
OG0003503	tr|A0A1S3CIK7|A0A1S3CIK7_CUCME	***	protein TORNADO 1		
OG0003502	tr|A0A0B2QW56|A0A0B2QW56_GLYSO	***	DUF21 domain-containing protein, chloroplastic		
OG0003505	AT5G55380.1	***	MBOAT (membrane bound O-acyl transferase) family protein		
OG0003504	tr|A0A0A0LAT5|A0A0A0LAT5_CUCSA	***	C2 domain-containing protein		
OG0015540	tr|A0A0A0K683|A0A0A0K683_CUCSA	***	Glutamyl-tRNA reductase		
OG0015541	tr|A0A2P5F7H0|A0A2P5F7H0_TREOI	***	Protein trichome birefringence-like		
OG0015542	tr|A0A1S3C1C2|A0A1S3C1C2_CUCME	***	fatty acid amide hydrolase		
OG0015543	tr|A0A0A0K2B0|A0A0A0K2B0_CUCSA	***	PB1 domain-containing protein		
OG0015544	tr|A0A5D2XAI0|A0A5D2XAI0_GOSMU	*-*	CYSTM domain-containing protein		
OG0015545	tr|A0A1S3C080|A0A1S3C080_CUCME	***	transcription factor GTE7-like		
OG0015546	tr|A0A5A7SJT7|A0A5A7SJT7_CUCME	***	DNA polymerase V		
OG0015547			Unknown protein		
OG0015548			Unknown protein		
OG0015549	tr|A0A6J1E1F8|A0A6J1E1F8_MOMCH	***	transcription factor bHLH25-like		
OG0003561	tr|A0A6J1IU16|A0A6J1IU16_CUCMA	***	abscisic acid 8'-hydroxylase 3-like		
OG0003560	tr|E5GCI3|E5GCI3_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0003563	tr|A0A1S3CHB7|A0A1S3CHB7_CUCME	***	Protein HGH1 homolog		
