GO:0005576	S-protein homolog OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold299G002420 PE=3 SV=1
GO:0005689	U11/U12 small nuclear ribonucleoprotein 31 kDa protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold360G00210 PE=4 SV=1
GO:0008234	Ulp1-like peptidase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold190G00350 PE=3 SV=1
GO:0005739	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_6G006770 PE=4 SV=1
GO:0004471	Malic enzyme OS=Cucumis melo OX=3656 GN=LOC103499065 PE=3 SV=1
GO:0016985	Mannan endo-1,4-beta-mannosidase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold44G002090 PE=3 SV=1
GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0046910	Pectinesterase inhibitor-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold571G00850 PE=4 SV=1
GO:0005634	LOW QUALITY PROTEIN: protein ENHANCED DOWNY MILDEW 2 OS=Cucumis melo OX=3656 GN=LOC103490112 PE=4 SV=1
GO:0005634	Protein ENHANCED DOWNY MILDEW 2 OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold63G00430 PE=4 SV=1
GO:0005634	Proline-, glutamic acid-and leucine-rich protein 1 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold475G002010 PE=3 SV=1
GO:0005737	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G232490 PE=4 SV=1
GO:0004471	Malic enzyme OS=Cucumis melo OX=3656 GN=LOC103499065 PE=3 SV=1
GO:0004180	Carboxypeptidase Y-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold16G002020 PE=4 SV=1
GO:0016020	Periaxin-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold675G00590 PE=4 SV=1
GO:0008234	Ulp1-like peptidase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold270G002050 PE=3 SV=1
GO:0005737	serine/threonine-protein kinase SRK2B-like isoform X1 OS=Cucumis melo OX=3656 GN=LOC103486040 PE=3 SV=1
GO:0046910	PMEI domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_6G307340 PE=4 SV=1
GO:0005777	3-hydroxyacyl-CoA dehydrogenase OS=Vigna unguiculata OX=3917 GN=DEO72_LG2g313 PE=3 SV=1
GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0005886	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_4G110080 PE=4 SV=1
GO:0005737	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G232490 PE=4 SV=1
GO:0016874	HECT-type E3 ubiquitin transferase OS=Cucumis melo OX=3656 GN=LOC103497770 PE=4 SV=1
GO:0005739	Peptide chain release factor 1 OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00110356pilonHSYRG00209 PE=3 SV=1
GO:0004470	Malic enzyme OS=Thalictrum thalictroides OX=46969 GN=FRX31_016273 PE=4 SV=1
GO:0005615	SCP domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G381130 PE=4 SV=1
GO:0032580	UDP-glucuronate decarboxylase OS=Cucumis melo OX=3656 GN=LOC103497844 PE=3 SV=1
GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X2 OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold207G00240 PE=4 SV=1
GO:0000228	meiotic recombination protein SPO11-1 isoform X1 OS=Cucumis melo OX=3656 GN=LOC103501238 PE=3 SV=1
GO:0005739	Complex1_49kDa domain-containing protein OS=Lupinus albus OX=3870 GN=Lal_00002471 PE=3 SV=1
GO:0003676	R3H domain-containing protein 2-like OS=Cucumis melo OX=3656 GN=LOC103489394 PE=4 SV=1
GO:0000779	3-hydroxyacyl-CoA dehydrogenase OS=Vigna unguiculata OX=3917 GN=DEO72_LG2g313 PE=3 SV=1
GO:0000779	condensin-2 complex subunit D3 OS=Cucumis melo OX=3656 GN=LOC103497846 PE=4 SV=1
GO:0005794	Small GTPase superfamily, Rab type OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold35G001080 PE=3 SV=1
GO:0005739	Maturase (Fragment) OS=Cucumis sativus OX=3659 GN=matR PE=4 SV=1
GO:0010227	Proline-rich protein HaeIII subfamily 1-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold109G00050 PE=4 SV=1
GO:0000427	uncharacterized protein LOC103487613 OS=Cucumis melo OX=3656 GN=LOC103487613 PE=4 SV=1
GO:0046910	PMEI domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_6G307340 PE=4 SV=1
GO:0004650	Exopolygalacturonase-like OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold430G00230 PE=3 SV=1
GO:0005743	Cytochrome c oxidase subunit 2 OS=Cucumis melo subsp. melo OX=412675 GN=cox2 PE=3 SV=1
GO:0005886	(1-
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_3G000030 PE=4 SV=1
GO:0004650	Exopolygalacturonase-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold280G00600 PE=3 SV=1
GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X2 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X2 OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold207G00240 PE=4 SV=1
GO:0016020	phylloplanin-like OS=Cucumis melo OX=3656 GN=LOC103497845 PE=4 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_3G362650 PE=4 SV=1
GO:0008234	ULP_PROTEASE domain-containing protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold204G00960 PE=3 SV=1
GO:0005634	Calmodulin-binding protein 60 G-like isoform X2 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold16G004400 PE=3 SV=1
GO:0000779	condensin-2 complex subunit D3 OS=Cucumis melo OX=3656 GN=LOC103497846 PE=4 SV=1
GO:0004650	Exopolygalacturonase-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold295G00680 PE=3 SV=1
GO:0005737	tRNA (Guanine(10)-N2)-methyltransferase-like protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold306G001320 PE=4 SV=1
GO:0005739	Cytochrome c oxidase subunit 3 OS=Salix viminalis OX=40686 GN=SVIM_LOCUS414828 PE=3 SV=1
GO:0004869	Cystatin domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_6G459990 PE=4 SV=1
GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0008483	Aminotran_1_2 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G580750 PE=3 SV=1
GO:0005730	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_5G453720 PE=3 SV=1
GO:0005689	U11/U12 small nuclear ribonucleoprotein 31 kDa protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold360G00210 PE=4 SV=1
GO:0005783	chaperone protein dnaJ 49 OS=Cucumis melo OX=3656 GN=LOC103497848 PE=4 SV=1
GO:0005634	Protein ENHANCED DOWNY MILDEW 2 OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold63G00430 PE=4 SV=1
GO:0004535	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0005689	U11/U12 small nuclear ribonucleoprotein 31 kDa protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold360G00210 PE=4 SV=1
GO:0005737	tRNA (Guanine(10)-N2)-methyltransferase homolog OS=Cucumis melo OX=3656 GN=LOC103489693 PE=4 SV=1
GO:0035251	Glycosyltransferase OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold123G00860 PE=3 SV=1
GO:0005743	mitochondrial import inner membrane translocase subunit TIM44-2-like isoform X2 OS=Cucumis melo OX=3656 GN=LOC103504598 PE=3 SV=1
GO:0032580	UDP-glucuronate decarboxylase OS=Cucumis melo OX=3656 GN=LOC103497844 PE=3 SV=1
GO:0005737	tRNA (Guanine(10)-N2)-methyltransferase-like protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold306G001320 PE=4 SV=1
GO:0005730	ribosome biogenesis protein BRX1-like OS=Cucumis melo OX=3656 GN=LOC103492188 PE=3 SV=1
GO:0004535	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0004185	Serine carboxypeptidase-like 13 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold134G002580 PE=3 SV=1
GO:0005634	Putative serine/threonine-protein kinase nek2 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold120G001550 PE=3 SV=1
GO:0005576	S-protein homolog OS=Cucumis sativus OX=3659 GN=Csa_5G017790 PE=3 SV=1
GO:0030246	17 kDa phloem lectin OS=Cucumis sativus OX=3659 GN=Lec17-7 PE=4 SV=1
GO:0005684	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G428990 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_4G507400 PE=3 SV=1
GO:0005794	protein-tyrosine sulfotransferase isoform X3 OS=Cucumis melo OX=3656 GN=LOC103500982 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_3G593690 PE=3 SV=1
GO:0005634	Protein ENHANCED DOWNY MILDEW 2 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold265G002750 PE=4 SV=1
GO:0005739	RF_PROK_I domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_7G394660 PE=3 SV=1
GO:0016301	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_4G374890 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G408740 PE=4 SV=1
GO:0005634	NADH dehydrogenase
GO:0016020	40S ribosomal protein S5 OS=Cucumis melo OX=3656 GN=LOC103501740 PE=3 SV=1
GO:0005737	tRNA (Guanine(10)-N2)-methyltransferase-like protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold306G001310 PE=4 SV=1
GO:0000786	Histone H3 OS=Nicotiana sylvestris OX=4096 GN=LOC104241334 PE=3 SV=1
GO:0046910	PMEI domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_6G307340 PE=4 SV=1
GO:0022625	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_3G797610 PE=3 SV=1
GO:0005634	E3 ubiquitin-protein ligase RGLG1 isoform X1 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold202G001970 PE=4 SV=1
GO:0006952	Bet_v_1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_5G026190 PE=3 SV=1
