Tag  	GO Term    	GO Name                                                   	GO Category        	Adj. P-value           	P-value                	Nr Test 	Nr Reference 	Not Annot Test 	Not Annot Ref
OVER 	GO:0016926 	protein desumoylation                                     	BIOLOGICAL_PROCESS 	0.030137200723611916   	7.798473469688683E-6   	    2.0 	         6.0 	           4.0 	      10359.0
OVER 	GO:0016929 	deSUMOylase activity                                      	MOLECULAR_FUNCTION 	0.030137200723611916   	7.798473469688683E-6   	    2.0 	         6.0 	           4.0 	      10359.0
OVER 	GO:0070646 	protein modification by small protein removal             	BIOLOGICAL_PROCESS 	0.047309744410918037   	1.8363207818961587E-5  	    2.0 	        10.0 	           4.0 	      10355.0
OVER 	GO:0018205 	peptidyl-lysine modification                              	BIOLOGICAL_PROCESS 	0.04889740572569584    	2.5305941635759267E-5  	    2.0 	        12.0 	           4.0 	      10353.0

OVER 	GO:0030150 	protein import into mitochondrial matrix                  	BIOLOGICAL_PROCESS 	3.4324424588871065E-13 	4.4409916663049634E-17 	    8.0 	        13.0 	          16.0 	      10334.0
OVER 	GO:0170036 	import into the mitochondrion                             	BIOLOGICAL_PROCESS 	1.3085863253104925E-12 	3.386172403442858E-16  	    8.0 	        18.0 	          16.0 	      10329.0
OVER 	GO:0044743 	protein transmembrane import into intracellular organelle 	BIOLOGICAL_PROCESS 	7.678775091487833E-12  	2.9805052755160433E-15 	    8.0 	        25.0 	          16.0 	      10322.0
OVER 	GO:0006626 	protein targeting to mitochondrion                        	BIOLOGICAL_PROCESS 	9.735719768071836E-12  	5.038540441491441E-15  	    8.0 	        27.0 	          16.0 	      10320.0
OVER 	GO:0072655 	establishment of protein localization to mitochondrion    	BIOLOGICAL_PROCESS 	1.0617685063794632E-11 	8.242477730983023E-15  	    8.0 	        29.0 	          16.0 	      10318.0
OVER 	GO:0070585 	protein localization to mitochondrion                     	BIOLOGICAL_PROCESS 	1.0617685063794632E-11 	8.242477730983023E-15  	    8.0 	        29.0 	          16.0 	      10318.0
OVER 	GO:0051087 	protein-folding chaperone binding                         	MOLECULAR_FUNCTION 	5.025481420379838E-11  	4.551477544657636E-14  	    8.0 	        37.0 	          16.0 	      10310.0
OVER 	GO:1990542 	mitochondrial transmembrane transport                     	BIOLOGICAL_PROCESS 	5.3157186097443554E-11 	5.502102326038924E-14  	    8.0 	        38.0 	          16.0 	      10309.0
OVER 	GO:0006839 	mitochondrial transport                                   	BIOLOGICAL_PROCESS 	1.8634736451482683E-10 	2.1699136765861578E-13 	    8.0 	        46.0 	          16.0 	      10301.0
OVER 	GO:0071806 	protein transmembrane transport                           	BIOLOGICAL_PROCESS 	2.2833928722627318E-10 	2.954318634057099E-13  	    8.0 	        48.0 	          16.0 	      10299.0
OVER 	GO:0006605 	protein targeting                                         	BIOLOGICAL_PROCESS 	8.987377145496633E-9   	1.2790936550713285E-11 	    8.0 	        80.0 	          16.0 	      10267.0
OVER 	GO:0005743 	mitochondrial inner membrane                              	CELLULAR_COMPONENT 	7.303407117796154E-8   	1.1339226991014859E-10 	    8.0 	       107.0 	          16.0 	      10240.0
OVER 	GO:0019866 	organelle inner membrane                                  	CELLULAR_COMPONENT 	2.41932074886308E-7    	4.382260380913847E-10  	    8.0 	       128.0 	          16.0 	      10219.0
OVER 	GO:0072594 	establishment of protein localization to organelle        	BIOLOGICAL_PROCESS 	2.41932074886308E-7    	4.382260380913847E-10  	    8.0 	       128.0 	          16.0 	      10219.0
OVER 	GO:0031966 	mitochondrial membrane                                    	CELLULAR_COMPONENT 	4.689964398195775E-7   	9.102013969845599E-10  	    8.0 	       141.0 	          16.0 	      10206.0
OVER 	GO:0005740 	mitochondrial envelope                                    	CELLULAR_COMPONENT 	5.155356037272876E-7   	1.0672234001341185E-9  	    8.0 	       144.0 	          16.0 	      10203.0
OVER 	GO:0033365 	protein localization to organelle                         	BIOLOGICAL_PROCESS 	9.785324265158354E-7   	2.152290238163954E-9   	    8.0 	       158.0 	          16.0 	      10189.0
OVER 	GO:0005739 	mitochondrion                                             	CELLULAR_COMPONENT 	8.385851020099538E-6   	1.9529734553214084E-8  	   11.0 	       569.0 	          13.0 	       9778.0
OVER 	GO:0015031 	protein transport                                         	BIOLOGICAL_PROCESS 	6.017919307256369E-5   	1.4793694764894683E-7  	    8.0 	       277.0 	          16.0 	      10070.0
OVER 	GO:0045184 	establishment of protein localization                     	BIOLOGICAL_PROCESS 	1.3901151837219483E-4  	3.597141114560612E-7   	    8.0 	       312.0 	          16.0 	      10035.0
OVER 	GO:0031967 	organelle envelope                                        	CELLULAR_COMPONENT 	3.175455983130948E-4   	8.627840036971135E-7   	    8.0 	       351.0 	          16.0 	       9996.0
OVER 	GO:0008104 	protein localization                                      	BIOLOGICAL_PROCESS 	3.794352069888036E-4   	1.0840680641790665E-6  	    8.0 	       362.0 	          16.0 	       9985.0
OVER 	GO:0070727 	cellular macromolecule localization                       	BIOLOGICAL_PROCESS 	3.794352069888036E-4   	1.129125341019858E-6   	    8.0 	       364.0 	          16.0 	       9983.0
OVER 	GO:0071705 	nitrogen compound transport                               	BIOLOGICAL_PROCESS 	0.0010062200107402342  	3.1245025563159033E-6  	    8.0 	       418.0 	          16.0 	       9929.0
OVER 	GO:0033036 	macromolecule localization                                	BIOLOGICAL_PROCESS 	0.0020689551572737165  	6.6921825503742925E-6  	    8.0 	       464.0 	          16.0 	       9883.0
OVER 	GO:0051641 	cellular localization                                     	BIOLOGICAL_PROCESS 	0.0022522533148785994  	7.576476411805354E-6   	    8.0 	       472.0 	          16.0 	       9875.0
OVER 	GO:0006671 	phytosphingosine metabolic process                        	BIOLOGICAL_PROCESS 	0.00847669999181147    	3.070870743572534E-5   	    2.0 	         2.0 	          22.0 	      10345.0
OVER 	GO:0017050 	D-erythro-sphingosine kinase activity                     	MOLECULAR_FUNCTION 	0.00847669999181147    	3.070870743572534E-5   	    2.0 	         2.0 	          22.0 	      10345.0
OVER 	GO:0005515 	protein binding                                           	MOLECULAR_FUNCTION 	0.028211345326970075   	1.0585185851754847E-4  	    9.0 	       891.0 	          15.0 	       9456.0
OVER 	GO:0031090 	organelle membrane                                        	CELLULAR_COMPONENT 	0.031224253357757584   	1.2119648088145007E-4  	    8.0 	       697.0 	          16.0 	       9650.0
OVER 	GO:0055085 	transmembrane transport                                   	BIOLOGICAL_PROCESS 	0.03401504355207314    	1.3642985510599914E-4  	    8.0 	       709.0 	          16.0 	       9638.0
OVER 	GO:0004470 	malic enzyme activity                                     	MOLECULAR_FUNCTION 	0.04418895637913905    	1.8295337095774997E-4  	    2.0 	         7.0 	          22.0 	      10340.0
